stage,source,nose_x,nose_y,nose_z,nose_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
ready,GT1,0.3758,0.0668,-2.5912,1.0,0.4266,0.1696,0.6695,0.9998,0.1878,0.1873,-1.5762,1.0,0.6163,0.1413,0.6319,0.9409,0.0987,0.2692,-3.28,0.9997,0.7136,0.0331,-0.5536,0.9745,0.0896,0.1618,-5.0148,0.9991,0.736,0.0224,-0.7382,0.9599,0.1054,0.1276,-5.4336,0.9957,0.4024,0.4821,0.9014,0.9996,0.2751,0.4878,-0.9038,0.9997,0.5041,0.7099,1.0497,0.9562,0.2423,0.7236,-0.9857,0.9961,0.563,0.9106,2.0793,0.9823,0.2204,0.9332,0.0623,0.9954,0.5402,0.9602,2.1005,0.9611,0.1978,0.9656,0.0908,0.9416,0.7013,0.9402,1.0561,0.9822,0.3082,1.0,-1.3139,0.99
ready,GT2,0.2072,0.2089,-3.0824,0.9999,0.3109,0.2483,-0.499,0.9995,0.1428,0.3265,-0.9776,0.9997,0.4023,0.1592,-0.5534,0.9317,0.0322,0.3941,-2.7112,0.9973,0.4423,0.035,-1.3014,0.9559,0.0132,0.281,-5.4851,0.9949,0.4574,0.0646,-1.5282,0.9383,0.0154,0.256,-6.0374,0.9805,0.3524,0.5563,0.1272,0.9996,0.2417,0.5709,-0.1288,0.9996,0.4326,0.7425,0.0714,0.9723,0.2215,0.7629,-0.1394,0.9957,0.4732,0.9077,2.24,0.9866,0.2162,0.9402,1.9387,0.9947,0.459,0.9329,2.3754,0.9372,0.2216,0.9633,2.0687,0.9197,0.5282,0.9856,0.8896,0.9837,0.2356,1.0,0.6015,0.9897
ready,GT3,0.4102,0.0437,-2.4088,1.0,0.5659,0.1524,-0.7507,0.9991,0.2307,0.1938,-1.0713,0.9998,0.7854,0.1099,-0.9223,0.8415,0.0609,0.2471,-2.6356,0.9939,0.9566,0.0283,-1.7506,0.873,0.0131,0.1399,-4.9529,0.991,1.0,0.0013,-1.9435,0.8611,0.0071,0.1116,-5.461,0.9827,0.5708,0.4666,-0.0293,0.9995,0.3603,0.4821,0.0278,0.9998,0.6534,0.6631,0.5287,0.8653,0.3448,0.6813,-0.4015,0.9901,0.7993,0.8414,2.3909,0.9051,0.3097,0.8772,0.8807,0.9908,0.8213,0.8572,2.486,0.8515,0.3147,0.8962,0.9328,0.9303,0.7905,0.9287,0.9421,0.9322,0.3145,0.9546,-0.559,0.9873
ready,GT4,0.3836,0.058,-2.4018,0.9999,0.5525,0.157,-0.5358,0.9994,0.2246,0.2122,-0.7622,0.9994,0.7797,0.1116,-0.7436,0.9463,0.0656,0.2733,-2.3618,0.9956,0.9514,0.0341,-1.583,0.9565,0.0225,0.1666,-4.8253,0.9946,1.0,0.0437,-1.7813,0.9474,0.0512,0.1379,-5.3268,0.9833,0.5569,0.4874,-0.0561,0.9996,0.3497,0.5064,0.0548,0.9997,0.652,0.6875,0.4439,0.957,0.3395,0.7219,0.2386,0.9942,0.7754,0.8665,2.182,0.9684,0.3481,0.9033,1.7637,0.9934,0.795,0.8833,2.256,0.8773,0.3647,0.9224,1.8424,0.9218,0.7548,0.9582,0.7523,0.9753,0.3285,0.9727,0.4889,0.9893
ready,Average,0.3442,0.0944,-2.6211,1.0,0.464,0.1818,-0.279,0.9995,0.1965,0.23,-1.0968,0.9997,0.6459,0.1305,-0.3969,0.9151,0.0643,0.2959,-2.7471,0.9966,0.766,0.0326,-1.2972,0.94,0.0346,0.1873,-5.0695,0.9949,0.7983,0.033,-1.4978,0.9267,0.0448,0.1583,-5.5647,0.9855,0.4706,0.4981,0.2358,0.9996,0.3067,0.5118,-0.2375,0.9997,0.5605,0.7007,0.5235,0.9377,0.2871,0.7225,-0.322,0.994,0.6527,0.8816,2.223,0.9606,0.2736,0.9135,1.1614,0.9936,0.6539,0.9084,2.3045,0.9068,0.2747,0.9368,1.2337,0.9284,0.6937,0.9532,0.91,0.9684,0.2967,0.9818,-0.1956,0.9891
backswing,GT1,0.2655,0.032,-2.4225,1.0,0.2627,0.1841,3.1495,0.9998,0.164,0.1331,-5.5436,0.9999,0.3366,0.3011,9.0097,0.7739,0.1174,0.1087,-11.2287,0.9986,0.4786,0.275,13.3178,0.9373,0.0984,0.0005,-16.0501,0.999,0.5313,0.2615,14.4078,0.9172,0.0738,0.0044,-17.3254,0.9967,0.2919,0.4652,2.6666,0.9998,0.2596,0.4534,-2.6718,0.9998,0.3128,0.6966,1.9174,0.9249,0.2871,0.6984,-3.4001,0.9949,0.3152,0.922,3.6494,0.978,0.0285,0.8764,-2.1838,0.9962,0.2817,0.9682,3.6898,0.9567,0.0058,0.9,-2.1303,0.9599,0.4173,0.9723,1.9006,0.9805,0.0319,1.0,-3.3938,0.9936
backswing,GT2,0.2636,0.0418,-2.4589,1.0,0.3617,0.1512,0.9998,0.9997,0.1501,0.1629,-1.2059,0.9998,0.5019,0.2098,1.4857,0.9757,0.0494,0.1517,-3.5241,0.9987,0.665,0.1959,0.3831,0.987,0.0018,0.0275,-5.8008,0.9975,0.7144,0.1888,0.2448,0.9761,0.0024,0.0209,-6.3605,0.9894,0.3708,0.4917,0.8985,0.9998,0.2676,0.4962,-0.8999,0.9998,0.4064,0.7037,1.2062,0.9708,0.2274,0.7072,-0.7634,0.9975,0.337,0.9225,2.5213,0.9901,0.0956,0.902,0.7011,0.9967,0.3049,0.9618,2.573,0.9683,0.0771,0.9207,0.7862,0.9527,0.4414,0.9829,1.4792,0.9887,0.1111,1.0,-0.4679,0.9935
backswing,GT3,0.3575,0.0281,-1.4546,1.0,0.3728,0.1744,2.9775,0.9996,0.2049,0.116,-2.1819,0.9998,0.3996,0.3252,4.5513,0.8245,0.0467,0.0612,-5.5616,0.9974,0.5516,0.3929,4.0267,0.8984,0.0641,0.0184,-8.0745,0.987,0.6193,0.4174,4.0691,0.8774,0.0341,0.0302,-8.8437,0.9603,0.3782,0.4786,1.843,0.9997,0.2294,0.4594,-1.8466,0.9999,0.4164,0.6923,2.2329,0.956,0.2255,0.6857,-3.4274,0.9962,0.3635,0.9035,3.3347,0.9778,0.0569,0.9147,-2.6552,0.9957,0.3183,0.9442,3.3238,0.932,0.0294,0.94,-2.6473,0.9438,0.5411,0.9759,1.7086,0.9803,0.0759,1.0,-4.8523,0.9933
backswing,GT4,0.3826,0.012,-0.7086,1.0,0.3952,0.1619,3.4252,0.9997,0.2071,0.1019,-1.7943,0.9998,0.4243,0.3095,4.6339,0.8604,0.0825,0.0117,-5.9777,0.998,0.5425,0.3801,4.1334,0.9247,0.1158,0.0093,-8.0999,0.9906,0.608,0.4066,4.1751,0.9007,0.0827,0.0194,-8.8319,0.9702,0.3866,0.4681,1.702,0.9997,0.2292,0.4467,-1.704,0.9998,0.4065,0.6866,1.2017,0.9715,0.2281,0.6784,-3.787,0.9965,0.3532,0.9112,1.9221,0.9839,0.0484,0.9089,-3.2085,0.9959,0.308,0.9495,1.867,0.9394,0.186,0.9367,-3.2325,0.9469,0.511,0.9825,0.1998,0.9855,0.0526,1.0,-5.4554,0.9934
backswing,Average,0.3173,0.0285,-1.7612,1.0,0.3481,0.1679,2.638,0.9997,0.1815,0.1285,-2.6814,0.9998,0.4156,0.2864,4.9201,0.8586,0.074,0.0833,-6.573,0.9982,0.5594,0.311,5.4652,0.9369,0.07,0.0139,-9.5063,0.9935,0.6183,0.3186,5.7242,0.9179,0.0482,0.0187,-10.3404,0.9791,0.3569,0.4759,1.7775,0.9998,0.2464,0.4639,-1.7806,0.9998,0.3855,0.6948,1.6395,0.9558,0.242,0.6924,-2.8445,0.9963,0.3423,0.9148,2.8569,0.9824,0.0573,0.9005,-1.8366,0.9961,0.3032,0.956,2.8634,0.9491,0.0746,0.9243,-1.8059,0.9508,0.4777,0.9784,1.3221,0.9838,0.0679,1.0,-3.5424,0.9935
impact,GT1,0.2465,0.1747,1.6069,0.9997,0.16,0.2655,6.4343,0.9993,0.2152,0.2267,-5.249,0.9999,0.157,0.4004,10.0914,0.3168,0.3608,0.1277,-6.8234,0.996,0.212,0.4502,9.9677,0.4244,0.4666,0.0207,-2.4777,0.9842,0.223,0.4483,10.4334,0.4243,0.5073,0.0024,-3.0331,0.9754,0.2099,0.5281,4.0536,0.9998,0.2267,0.5235,-4.0614,0.9998,0.233,0.7298,5.314,0.6641,0.231,0.7354,-4.6811,0.9887,0.2198,0.9242,8.3115,0.9143,0.0564,0.889,-2.4203,0.9921,0.2034,0.9608,8.4827,0.8832,0.0058,0.8925,-2.2652,0.9631,0.3436,0.9787,6.9734,0.9367,0.025,1.0,-4.6018,0.9889
impact,GT2,0.1758,0.1197,1.3298,0.9998,0.0617,0.1338,5.2496,0.9997,0.1479,0.0701,-3.8568,0.9998,0.1413,0.2886,7.3455,0.6242,0.3428,0.0169,-5.0708,0.9964,0.3128,0.2684,6.8388,0.7129,0.5351,0.003,-3.9493,0.9956,0.3598,0.2627,7.241,0.7131,0.5756,0.0089,-4.7219,0.9893,0.0517,0.4446,2.8588,0.9998,0.1052,0.4378,-2.8675,0.9998,0.11,0.6936,4.4607,0.8014,0.1814,0.6857,-1.9133,0.9924,0.0672,0.9382,6.1294,0.9575,0.0437,0.8926,-0.1277,0.9945,0.039,0.9867,6.2468,0.9381,0.0067,0.906,0.0608,0.9634,0.2042,0.9991,5.2948,0.968,0.0624,1.0,-0.9183,0.9921
impact,GT3,0.4597,0.0619,1.5695,0.9997,0.343,0.1451,12.178,0.999,0.3712,0.1001,-10.6573,0.9998,0.2933,0.3034,18.8931,0.4298,0.5976,0.0304,-16.8678,0.9977,0.4235,0.3833,19.7698,0.4951,0.8704,0.0173,-15.5702,0.9878,0.4595,0.4137,20.4454,0.4936,0.9399,0.0109,-17.3052,0.966,0.3945,0.4484,7.4075,0.9997,0.3324,0.4399,-7.4253,0.9998,0.4129,0.6601,8.5669,0.7322,0.3681,0.6712,-13.2743,0.9901,0.3425,0.8973,12.5867,0.9064,0.1019,0.8768,-12.7947,0.9915,0.3203,0.9389,12.6777,0.8572,0.0294,0.8744,-12.8958,0.9414,0.546,0.9505,9.1245,0.9328,0.1445,1.0,-18.1632,0.9897
impact,GT4,0.4638,0.0859,1.1518,0.9997,0.3222,0.1676,10.8707,0.9991,0.3678,0.1348,-11.8744,0.9998,0.2942,0.3117,17.505,0.4507,0.5905,0.0553,-18.85,0.9972,0.4165,0.4203,18.1527,0.5076,0.8477,0.0027,-16.4772,0.9875,0.4145,0.4372,18.9673,0.5047,0.9128,0.0057,-18.4727,0.9675,0.3645,0.4753,7.2601,0.9997,0.3181,0.4602,-7.2757,0.9998,0.4044,0.6797,10.619,0.757,0.3527,0.6841,-10.8354,0.9908,0.3487,0.8994,16.7942,0.9324,0.086,0.8793,-7.8096,0.9931,0.3189,0.9419,17.0995,0.8823,0.186,0.8745,-7.7133,0.9448,0.5083,0.9497,13.7716,0.9517,0.1101,1.0,-12.6779,0.9913
