frame,0_x,0_y,0_v,11_x,11_y,11_v,12_x,12_y,12_v,13_x,13_y,13_v,14_x,14_y,14_v,15_x,15_y,15_v,16_x,16_y,16_v,17_x,17_y,17_v,18_x,18_y,18_v,23_x,23_y,23_v,24_x,24_y,24_v,25_x,25_y,25_v,26_x,26_y,26_v,27_x,27_y,27_v,28_x,28_y,28_v,29_x,29_y,29_v,30_x,30_y,30_v,31_x,31_y,31_v,32_x,32_y,32_v
1,0.524148,0.370458,0.999096,0.482466,0.446501,0.999936,0.402904,0.420364,0.999965,0.509756,0.537764,0.372739,0.460251,0.498205,0.997067,0.609036,0.511704,0.625315,0.588259,0.493527,0.988457,0.64015,0.507286,0.664,0.626831,0.496648,0.977819,0.447515,0.631595,0.999991,0.373655,0.626935,0.999993,0.490758,0.775521,0.739807,0.341668,0.77933,0.986631,0.493558,0.912566,0.937254,0.264418,0.914966,0.988854,0.473755,0.940719,0.889643,0.240005,0.932393,0.843347,0.577285,0.944107,0.956172,0.306792,0.963833,0.979584
2,0.520073,0.369213,0.999154,0.47946,0.445942,0.999938,0.398356,0.420363,0.999963,0.509793,0.535436,0.387913,0.459801,0.49804,0.997022,0.605614,0.507114,0.647077,0.584923,0.490347,0.98838,0.634588,0.500251,0.683189,0.620793,0.490042,0.977904,0.442361,0.631618,0.99999,0.371182,0.626962,0.999992,0.490606,0.774821,0.722827,0.34105,0.779124,0.985377,0.494145,0.912131,0.927453,0.263554,0.914523,0.987444,0.473679,0.940676,0.880127,0.239628,0.932082,0.835892,0.578025,0.944123,0.951116,0.30626,0.963847,0.977702
3,0.500016,0.367946,0.999216,0.468023,0.443347,0.999938,0.373369,0.420207,0.999963,0.517685,0.523513,0.405886,0.448704,0.491479,0.99714,0.605996,0.492441,0.666308,0.566169,0.467909,0.989166,0.636201,0.483848,0.699492,0.602891,0.464899,0.97941,0.4306,0.631256,0.999989,0.358842,0.627621,0.999991,0.487706,0.773967,0.718731,0.330964,0.779255,0.985058,0.494756,0.911616,0.92316,0.261431,0.915702,0.987052,0.473771,0.940456,0.875669,0.239083,0.934262,0.834154,0.57831,0.944119,0.949302,0.304887,0.964313,0.977273
4,0.485977,0.365776,0.999276,0.459525,0.441118,0.999939,0.359103,0.419535,0.999963,0.519193,0.516251,0.432543,0.429954,0.485396,0.997247,0.606662,0.48258,0.68782,0.54999,0.457352,0.98986,0.637027,0.473517,0.717448,0.586329,0.450645,0.980742,0.423835,0.631259,0.999989,0.349735,0.628733,0.99999,0.483004,0.773814,0.722693,0.320606,0.77986,0.984943,0.49502,0.911091,0.922231,0.259435,0.9162,0.986804,0.473791,0.940026,0.874006,0.238716,0.93539,0.833527,0.577939,0.944198,0.949206,0.30328,0.964328,0.977051
5,0.472285,0.364436,0.999341,0.451814,0.440923,0.999942,0.348434,0.419504,0.999964,0.521196,0.508871,0.471656,0.406988,0.480019,0.997413,0.606932,0.473085,0.714583,0.523688,0.452768,0.990651,0.640109,0.462212,0.740498,0.560126,0.445799,0.982229,0.416459,0.631347,0.999989,0.342905,0.629469,0.99999,0.478179,0.77376,0.733458,0.31369,0.780461,0.985367,0.495624,0.910846,0.923849,0.258494,0.916589,0.986986,0.474049,0.940104,0.875514,0.238064,0.936524,0.835593,0.579436,0.9442,0.950634,0.302942,0.964127,0.97753
6,0.457072,0.362717,0.999405,0.443806,0.441587,0.999946,0.330348,0.420056,0.999966,0.521231,0.495712,0.516358,0.368572,0.462202,0.997606,0.605432,0.449137,0.741439,0.492288,0.427418,0.991424,0.64005,0.432074,0.764108,0.522106,0.416098,0.983649,0.405984,0.631357,0.999989,0.329412,0.629763,0.99999,0.47135,0.77373,0.749692,0.300823,0.781855,0.986166,0.495658,0.910633,0.928552,0.255151,0.917976,0.987686,0.47407,0.94068,0.88202,0.235881,0.939446,0.843809,0.579598,0.943749,0.953809,0.302738,0.964156,0.978803
7,0.434369,0.359333,0.999462,0.433884,0.441694,0.999949,0.313557,0.420055,0.999968,0.520869,0.485795,0.556075,0.3316,0.448285,0.997745,0.597297,0.428159,0.765639,0.448585,0.411509,0.992129,0.629114,0.408829,0.785503,0.480992,0.402945,0.984956,0.393059,0.631357,0.999988,0.312538,0.629741,0.999989,0.460891,0.773758,0.756794,0.290296,0.78148,0.98626,0.495296,0.910598,0.931114,0.252729,0.918871,0.987852,0.474145,0.941546,0.884782,0.234141,0.940727,0.847237,0.579651,0.941146,0.95569,0.301273,0.964196,0.979218
8,0.434019,0.359153,0.999514,0.430392,0.441778,0.999952,0.311934,0.419631,0.99997,0.52104,0.482813,0.594261,0.324274,0.447374,0.997897,0.597007,0.423089,0.788156,0.436974,0.41179,0.99283,0.627903,0.404425,0.805712,0.472054,0.402338,0.986282,0.392004,0.631538,0.999988,0.31119,0.629913,0.999989,0.45933,0.77381,0.765382,0.289716,0.781271,0.986475,0.493366,0.9106,0.933943,0.251427,0.919804,0.98816,0.47417,0.941538,0.88871,0.23283,0.94271,0.852448,0.579827,0.93982,0.95786,0.305453,0.964094,0.979876
9,0.424944,0.35656,0.999561,0.42731,0.440743,0.999955,0.304547,0.418908,0.999972,0.522612,0.474817,0.626691,0.30671,0.445461,0.997992,0.596321,0.409829,0.808197,0.417483,0.407515,0.993437,0.623689,0.394779,0.823679,0.450017,0.397046,0.987434,0.387187,0.631495,0.999986,0.305926,0.6299,0.999987,0.455982,0.773797,0.758717,0.286854,0.781199,0.985118,0.491002,0.910597,0.932786,0.251335,0.920575,0.987439,0.473944,0.941535,0.887058,0.231726,0.943453,0.850695,0.579499,0.937285,0.957874,0.30568,0.964089,0.979054
10,0.421234,0.355653,0.999603,0.424114,0.43987,0.999958,0.299102,0.417736,0.999973,0.525201,0.467403,0.656883,0.289186,0.444741,0.998078,0.593933,0.399915,0.826306,0.403642,0.400892,0.993965,0.617828,0.38215,0.839924,0.436135,0.388516,0.988436,0.38221,0.630719,0.999985,0.301124,0.629831,0.999986,0.450689,0.773783,0.754337,0.282414,0.781103,0.98429,0.488588,0.91092,0.932287,0.251332,0.920844,0.987002,0.473119,0.941863,0.886187,0.231323,0.944918,0.850779,0.578883,0.933731,0.958101,0.307342,0.964154,0.978491
11,0.398468,0.351611,0.999641,0.414749,0.434734,0.999961,0.283545,0.417919,0.999974,0.522745,0.453525,0.686363,0.211328,0.439485,0.997993,0.579905,0.383593,0.843237,0.318876,0.398776,0.994177,0.599783,0.362964,0.855378,0.351162,0.383997,0.988845,0.366236,0.628677,0.999982,0.287897,0.629117,0.999981,0.435818,0.773287,0.741655,0.272405,0.78106,0.981906,0.482805,0.910097,0.930937,0.250423,0.921515,0.985897,0.471566,0.941544,0.882615,0.231351,0.945699,0.847777,0.575918,0.926651,0.95769,0.307402,0.964566,0.976701
12,0.393595,0.348024,0.999675,0.411315,0.432123,0.999964,0.28129,0.417926,0.999974,0.51966,0.451528,0.713257,0.21156,0.438154,0.997952,0.576403,0.378208,0.858555,0.319607,0.389907,0.994481,0.594023,0.356243,0.869356,0.354073,0.376438,0.98938,0.364115,0.628182,0.999977,0.284146,0.62898,0.999975,0.433383,0.773291,0.720665,0.268718,0.781528,0.977622,0.481259,0.909462,0.926341,0.248963,0.921436,0.983522,0.471037,0.941332,0.874048,0.230905,0.945282,0.838172,0.574386,0.924299,0.955132,0.307892,0.964594,0.973047
13,0.388218,0.346886,0.999707,0.406221,0.429957,0.999967,0.273592,0.41774,0.999974,0.518445,0.444608,0.740141,0.188621,0.436745,0.997953,0.574264,0.372471,0.872542,0.298906,0.397059,0.99448,0.593433,0.350654,0.882148,0.33523,0.388232,0.989283,0.360266,0.627419,0.999975,0.280535,0.628633,0.999971,0.428886,0.773106,0.725881,0.266126,0.781707,0.977477,0.480271,0.908887,0.928276,0.248048,0.921558,0.983288,0.469495,0.941328,0.873883,0.230289,0.945043,0.838648,0.573461,0.920938,0.956145,0.307279,0.964549,0.972571
14,0.384991,0.348208,0.999735,0.401093,0.428582,0.99997,0.264228,0.417239,0.999975,0.517443,0.436994,0.764838,0.168885,0.437686,0.997968,0.572886,0.367144,0.885156,0.273212,0.399817,0.994462,0.594186,0.345932,0.893684,0.305696,0.391583,0.989201,0.359174,0.626746,0.999972,0.27804,0.628257,0.999966,0.425696,0.772878,0.735033,0.263299,0.781689,0.977333,0.479382,0.908519,0.930264,0.247866,0.9215,0.98302,0.467343,0.941322,0.874141,0.230246,0.94499,0.838281,0.572224,0.918615,0.95705,0.30729,0.963554,0.971869
15,0.379571,0.348699,0.999761,0.394275,0.42621,0.999972,0.251369,0.417177,0.999975,0.515913,0.425611,0.786872,0.143755,0.440056,0.998034,0.572953,0.353297,0.896527,0.239318,0.397768,0.994824,0.595659,0.334258,0.904121,0.265853,0.383428,0.989898,0.355875,0.626482,0.99997,0.274544,0.62823,0.99996,0.422712,0.77312,0.741117,0.259985,0.781729,0.976679,0.478356,0.907445,0.931742,0.247692,0.92146,0.982441,0.466609,0.940817,0.874817,0.230248,0.944876,0.836208,0.570698,0.916458,0.957945,0.307323,0.963069,0.970677
